ID,cr_ID,assembly_time,eq_ID,process_time,ramp,servo_defect,data_defect,status
HDDSN00000,CRSTR01L,2015-03-09 09:36:00,EGRWT0113,2015-03-09 11:33:55,4561.0,6083.0,1341.0,pass
HDDSN00001,CRSTR01Q,2015-03-10 02:13:00,EGRWT0102,2015-03-10 03:16:18,3898.0,1819.0,8037.0,pass
HDDSN00002,CRSTR01N,2015-03-06 23:06:00,EGRWT0103,2015-03-07 00:00:12,3016.0,4997.0,1583.0,pass
HDDSN00003,CRSTR01A,2015-03-08 05:10:00,EGRWT0107,2015-03-08 06:36:18,1605.0,4415.0,3345.0,pass
HDDSN00004,CRSTR01C,2015-03-09 06:44:00,EGRWT0113,2015-03-09 09:13:40,1002.0,2394.0,3296.0,pass
HDDSN00005,CRSTR01I,2015-03-10 14:10:00,EGRWT0112,2015-03-10 15:15:19,1984.0,2735.0,2953.0,pass
HDDSN00006,CRSTR01F,2015-03-08 11:34:00,EGRWT0105,2015-03-08 13:29:41,1356.0,2748.0,2974.0,pass
HDDSN00007,CRSTR01D,2015-03-11 23:06:00,EGRWT0105,2015-03-12 00:26:45,1643.0,3566.0,1482.0,pass
HDDSN00008,CRSTR01E,2015-03-08 05:29:00,EGRWT0114,2015-03-08 06:07:16,1618.0,3610.0,1823.0,pass
HDDSN00009,CRSTR01M,2015-03-09 17:08:00,EGRWT0103,2015-03-09 19:48:12,4789.0,3331.0,7306.0,fail
HDDSN00010,CRSTR01C,2015-03-09 19:24:00,EGRWT0110,2015-03-09 20:17:00,1443.0,3599.0,5112.0,pass
HDDSN00011,CRSTR01E,2015-03-10 03:38:00,EGRWT0108,2015-03-10 05:24:08,1003.0,3003.0,2741.0,pass
HDDSN00012,CRSTR01I,2015-03-10 02:45:00,EGRWT0113,2015-03-10 04:15:09,1402.0,3713.0,2619.0,pass
HDDSN00013,CRSTR01B,2015-03-08 01:01:00,EGRWT0107,2015-03-08 02:04:14,2119.0,3909.0,4703.0,pass
HDDSN00015,CRSTR01Q,2015-03-08 17:52:00,EGRWT0108,2015-03-08 19:26:37,2680.0,3392.0,3172.0,pass
HDDSN00016,CRSTR01T,2015-03-06 01:26:00,EGRWT0112,2015-03-06 03:42:20,1016.0,3981.0,2074.0,pass
HDDSN00017,CRSTR01G,2015-03-05 13:21:00,EGRWT0113,2015-03-05 14:51:17,2826.0,1817.0,3287.0,pass
HDDSN00018,CRSTR01M,2015-03-05 20:19:00,EGRWT0103,2015-03-05 20:55:09,1104.0,3209.0,3353.0,pass
HDDSN00019,CRSTR01A,2015-03-09 03:35:00,EGRWT0104,2015-03-09 04:49:02,1258.0,3005.0,3384.0,pass
HDDSN00022,CRSTR01R,2015-03-05 14:17:00,EGRWT0102,2015-03-05 15:00:42,3242.0,4935.0,4937.0,fail
HDDSN00023,CRSTR01J,2015-03-07 17:59:00,EGRWT0103,2015-03-07 20:08:24,1919.0,2761.0,2157.0,fail
HDDSN00024,CRSTR01S,2015-03-07 17:49:00,EGRWT0101,2015-03-07 19:37:12,3021.0,6114.0,3631.0,fail
HDDSN00026,CRSTR01J,2015-03-11 11:59:00,EGRWT0107,2015-03-11 13:02:12,10159.0,3983.0,1191.0,pass
HDDSN00027,CRSTR01P,2015-03-08 03:56:00,EGRWT0114,2015-03-08 06:34:20,1718.0,3547.0,1254.0,fail
HDDSN00028,CRSTR01D,2015-03-09 00:16:00,EGRWT0104,2015-03-09 01:35:40,1889.0,2144.0,3056.0,pass
HDDSN00030,CRSTR01J,2015-03-07 03:41:00,EGRWT0104,2015-03-07 05:19:39,1129.0,4242.0,1106.0,fail
HDDSN00031,CRSTR01D,2015-03-08 03:01:00,EGRWT0105,2015-03-08 04:54:08,1482.0,4367.0,1473.0,pass
HDDSN00033,CRSTR01S,2015-03-10 07:22:00,EGRWT0112,2015-03-10 09:55:09,1086.0,3746.0,1424.0,pass
HDDSN00034,CRSTR01T,2015-03-09 04:11:00,EGRWT0111,2015-03-09 05:29:16,2600.0,1906.0,2601.0,pass
HDDSN00035,CRSTR01E,2015-03-09 17:08:00,EGRWT0112,2015-03-09 17:41:10,1934.0,4595.0,1580.0,pass
