no,name,display,weight(kg),os,core,codename,cpu(GHz),model_year,chipset,used,price
0,애플 JH 애플 맥북프로 13형 2019년형 MUHQ2KH/A 무배,13인치(32~35cm),,,,,,2019,,False,1483560
1,애플 애플 맥북에어13형 MVFL2KH/A 실버 (주)ipark,13인치(32~35cm),,,,,,2020,,False,5204440
2,애플 맥북프로 2019 16인치 CTO i7/64GB/1TB CTO,16인치(40~42cm),,,,,,2019,,False,3801600
3,Apple 맥북 프로 16인치 + 애플케어플러스(선택),16인치(40~42cm),,,,,,,,False,3190000
4,애플 맥북프로 13인치 2019년형 i5/8G/128G/256G,13인치(32~35cm),,,,,,2019,,False,1249200
5,moshi iGlaze 맥북 13 케이스Mac 13 CL,,,,,,,,,False,106920
6,애플 맥북에어 MWTK2KH/A 실버 CTO(영문자판),13인치(32~35cm),,,,,,2020,,False,1181100
7,애플 맥북프로 2015 13인치 MF840 당일출고,13인치(32~35cm),,,,,,2015,,False,1304050
8,애플 미사용 애플 맥북에어 13인치 2014/2015 특가판매,13인치(32~35cm),,,,,,2014,,False,790200
9,가온씨앤씨 MacBook Pro 16형 MVVJ2KH/A 그레이 512GB,16인치(40~42cm),,,,,,2019,,False,3186600
10,애플 맥북프로 16형 MVVM2KH/A CTO ipark,16인치(40~42cm),,,,,,2019,,False,4600000
11,애플 맥북프로 13인치 2016년형 i5/8G/256G 터치바,13인치(32~35cm),,,,,,2016,,False,988200
12,[애플] 맥북프로 13형 512GB Silver 터치바 - MYDC2KH/A,13인치(32~35cm),,,,,,2020,,False,1947500
13,맥 (중고)애플맥북프로 13인치 레티나 ME865KH/A점검완료,13인치(32~35cm),,,,,,2013,,True,627100
14,애플 애플 맥북프로13 MF839KH/A B급(i5-5257U/8G/SSD128G),13인치(32~35cm),,,,,,2015,,False,698000
15,애플 맥북프로 13인치 2017년형 i5 터치바/논터치바,13인치(32~35cm),,,,,,2017,,False,898200
16,가온씨앤씨 Apple MacBook Air 13형 MVFK2KH/A 2019형,13인치(32~35cm),,,,,,2019,,False,1240800
17,애플 맥북에어 13인치 2011년형 i5/4G/128G,13인치(32~35cm),,,,,,2011,,False,324480
18,애플 맥북에어 2020 13인치 기본형 업그레이드 CTO,13인치(32~35cm),,,듀얼코어,,1.1,2020,인텔,False,1320000
19,Apple 맥북프로 15형 레티나 (ME294KH/A),15인치(37~39cm),2.0kg,MAC OS,쿼드코어,하스웰(4세대),,2013,인텔,False,2959990
20,맥북프로 2019/16형 맥북프로/MVVL2KH/A +윈도우설치+사양변경,16인치(40~42cm),,,,,,2019,,False,3071880
21,애플 맥북프로 13인치 2015년형 i5/8G/256G/512G,13인치(32~35cm),,,,,,2015,,False,718200
22,[롯데아이몰][애플] 맥북프로 16형 1TB Silver MVVM2KH/A 터치바,16인치(40~42cm),,,,,,2019,,False,3817000
23,애플 맥북에어 11인치 2014년형 i5/4G/128G/256G 정품,11인치(27~29cm),,,,,,2014,,False,439200
24,애플 [애플] 맥북프로 16형 1TB SpaceGrey MVVK2KH/A 터치바,16인치(40~42cm),,,,,,2019,,False,3511640
